Date,Open,High,Low,Close,Adj Close,Volume
8/05/2014,4053,4109,4040,4052,4052,2411940000
9/05/2014,4043,4072,4025,4072,4072,1976160000
12/05/2014,4093,4147,4092,4144,4144,1880020000
13/05/2014,4145,4155,4128,4130,4130,1923480000
14/05/2014,4122,4132,4094,4101,4101,1764430000
15/05/2014,4097,4098,4036,4069,4069,2083030000
16/05/2014,4070,4091,4044,4091,4091,1741070000
19/05/2014,4080,4128,4076,4126,4126,1601400000
20/05/2014,4121,4125,4081,4097,4097,1797910000
21/05/2014,4106,4134,4104,4132,4132,1703500000
22/05/2014,4136,4165,4131,4154,4154,1835810000
23/05/2014,4160,4187,4148,4186,4186,1536610000
27/05/2014,4206,4237,4205,4237,4237,1812330000
28/05/2014,4235,4238,4217,4225,4225,1785140000
29/05/2014,4238,4248,4229,4248,4248,1714000000
30/05/2014,4251,4252,4222,4243,4243,1903660000
2/06/2014,4248,4248,4208,4237,4237,1631310000
3/06/2014,4222,4240,4216,4234,4234,1718640000
4/06/2014,4222,4256,4216,4252,4252,1610090000
5/06/2014,4259,4300,4242,4296,4296,1926750000
6/06/2014,4313,4323,4306,4321,4321,1616650000
9/06/2014,4324,4347,4320,4336,4336,1783060000
10/06/2014,4329,4339,4320,4338,4338,1787120000
11/06/2014,4323,4338,4315,4332,4332,1778460000
12/06/2014,4323,4328,4285,4298,4298,1908190000
13/06/2014,4315,4318,4288,4311,4311,1754560000
16/06/2014,4304,4327,4296,4321,4321,1675120000
17/06/2014,4316,4346,4311,4337,4337,1814360000
18/06/2014,4341,4365,4321,4363,4363,1860660000
19/06/2014,4370,4372,4340,4359,4359,1845460000
20/06/2014,4365,4369,4354,4368,4368,2721380000
23/06/2014,4369,4372,4359,4369,4369,1712930000
24/06/2014,4368,4400,4343,4350,4350,2014700000
25/06/2014,4342,4384,4339,4380,4380,1722820000
26/06/2014,4379,4380,4347,4379,4379,1554070000
27/06/2014,4372,4399,4372,4398,4398,3964930000
30/06/2014,4398,4417,4397,4408,4408,1848110000
1/07/2014,4425,4472,4424,4459,4459,1942550000
2/07/2014,4458,4467,4451,4458,4458,1599480000
3/07/2014,4473,4486,4464,4486,4486,1001730000
7/07/2014,4478,4478,4448,4452,4452,1691390000
8/07/2014,4443,4444,4372,4391,4391,2221820000
9/07/2014,4403,4422,4388,4419,4419,1736960000
10/07/2014,4352,4416,4351,4396,4396,1682920000
11/07/2014,4401,4417,4389,4415,4415,1511250000
14/07/2014,4441,4452,4433,4440,4440,1579660000
15/07/2014,4445,4452,4390,4416,4416,1772030000
16/07/2014,4446,4449,4420,4426,4426,2059340000
17/07/2014,4412,4425,4352,4363,4363,2055240000
18/07/2014,4380,4434,4378,4432,4432,1823580000
21/07/2014,4421,4432,4405,4425,4425,1557820000
22/07/2014,4445,4464,4443,4456,4456,1724440000
23/07/2014,4468,4481,4458,4474,4474,1909810000
24/07/2014,4482,4486,4466,4472,4472,1935090000
25/07/2014,4448,4458,4430,4450,4450,1711430000
28/07/2014,4451,4455,4414,4445,4445,1783250000
29/07/2014,4456,4471,4441,4443,4443,2090810000
30/07/2014,4468,4476,4445,4463,4463,1872430000
31/07/2014,4421,4431,4367,4370,4370,2273380000
1/08/2014,4363,4385,4324,4353,4353,2050340000
4/08/2014,4366,4395,4343,4384,4384,1677400000
5/08/2014,4365,4383,4334,4353,4353,1916180000
6/08/2014,4326,4379,4325,4355,4355,1819310000
7/08/2014,4373,4380,4322,4335,4335,1866330000
8/08/2014,4341,4373,4328,4371,4371,1759060000
11/08/2014,4387,4416,4384,4401,4401,1537880000
12/08/2014,4395,4407,4372,4389,4389,1560220000
13/08/2014,4408,4434,4404,4434,4434,1611690000
14/08/2014,4438,4453,4434,4453,4453,1549820000
15/08/2014,4480,4482,4427,4465,4465,1799460000
18/08/2014,4491,4509,4486,4508,4508,1571100000
19/08/2014,4514,4529,4514,4528,4528,1556560000
20/08/2014,4518,4533,4516,4526,4526,1502290000
21/08/2014,4527,4534,4514,4532,4532,1421730000
22/08/2014,4535,4547,4522,4539,4539,1311810000
25/08/2014,4564,4571,4548,4557,4557,1384620000
26/08/2014,4564,4576,4557,4571,4571,1469620000
27/08/2014,4574,4576,4562,4570,4570,1389470000
28/08/2014,4553,4566,4547,4558,4558,1309580000
29/08/2014,4572,4580,4554,4580,4580,1352830000
2/09/2014,4592,4599,4577,4598,4598,1859080000
3/09/2014,4610,4610,4565,4573,4573,1897450000
4/09/2014,4582,4603,4553,4562,4562,1728700000
5/09/2014,4561,4583,4543,4583,4583,1641830000
8/09/2014,4579,4600,4570,4592,4592,1670210000
9/09/2014,4589,4599,4544,4552,4552,1956550000
10/09/2014,4554,4587,4545,4587,4587,1808650000
11/09/2014,4568,4592,4560,4592,4592,1704850000
12/09/2014,4589,4590,4556,4568,4568,1784170000
15/09/2014,4567,4567,4507,4519,4519,1940520000
16/09/2014,4502,4558,4500,4553,4553,1879350000
17/09/2014,4554,4582,4539,4562,4562,1796710000
18/09/2014,4576,4594,4573,4593,4593,1774840000
19/09/2014,4606,4611,4563,4580,4580,3178490000
22/09/2014,4568,4569,4513,4528,4528,1881520000
23/09/2014,4511,4536,4508,4509,4509,1847730000
24/09/2014,4515,4557,4500,4555,4555,1765260000
25/09/2014,4541,4547,4467,4467,4467,1939610000
26/09/2014,4476,4516,4475,4512,4512,1637480000
29/09/2014,4466,4515,4464,4506,4506,1737750000
30/09/2014,4513,4522,4484,4493,4493,2200380000
1/10/2014,4487,4487,4409,4422,4422,2312630000
2/10/2014,4421,4442,4368,4430,4430,2165500000
3/10/2014,4457,4488,4446,4476,4476,1777640000
6/10/2014,4492,4496,4444,4455,4455,1828240000
7/10/2014,4434,4442,4385,4385,4385,2111360000
8/10/2014,4386,4474,4355,4469,4469,2451630000
9/10/2014,4458,4464,4377,4378,4378,2264220000
10/10/2014,4355,4381,4276,4276,4276,2765750000
13/10/2014,4275,4304,4213,4214,4214,2467830000
14/10/2014,4246,4281,4213,4227,4227,2496120000
15/10/2014,4154,4232,4117,4215,4215,3058740000
16/10/2014,4133,4246,4132,4217,4217,2591940000
17/10/2014,4275,4296,4242,4258,4258,2260070000
